Name,count
Dota 2,9388
Grand Theft Auto IV: The Complete Edition,5672
Batman™: Arkham Knight,7112
PAYDAY 2,25878
DayZ,30003
Heroes & Generals,11911
Nether: Resurrected,5168
Rust,16005
theHunter Classic,5472
Grand Theft Auto V,10447
Evolve Stage 2,5631
No Man's Sky,8258
Robocraft,12556
Call of Duty®: Black Ops III,9852
ARK: Survival Evolved,7195
Tom Clancy’s The Division™,5337
Dead by Daylight,6264
Z1 Battle Royale,5635
