AppID,Name,Windows,Mac,Linux,Genres,Release date,Average playtime forever,Positive,Negative
404580,Relive,True,True,False,"adventure,free to play,indie","Oct 15, 2015",68357,106,47
554640,拯救大魔王2 Rescue the Great Demon 2,True,True,True,"adventure,free to play,indie,rpg","Nov 18, 2016",49555,340,113
831980,Out of the Park Baseball 20,True,True,True,"indie,simulation,sports,strategy","Mar 22, 2019",34798,998,83
989450,时之回廊/Corridor of time,True,False,False,"action,adventure,indie,rpg","Aug 2, 2019",33343,337,189
629910,Clicker Heroes 2,True,True,False,"action,adventure,casual,indie,rpg,simulation,strategy,early access","Jul 16, 2018",31708,1524,1070
353130,Time of Dragons,True,True,True,"action,free to play,indie,massively multiplayer,simulation","Feb 1, 2016",27080,1059,638
305940,Project AURA,True,False,False,"indie,simulation,strategy","Apr 17, 2018",26827,435,229
557400,Midas Gold Plus,True,True,False,"adventure,casual,free to play,indie,rpg","Feb 1, 2017",19196,1475,224
719890,Beasts of Bermuda,True,False,False,"adventure,indie,massively multiplayer,simulation,early access","Dec 21, 2018",17147,4107,1521
252490,Rust,True,True,False,"action,adventure,indie,massively multiplayer,rpg","Feb 8, 2018",16623,703687,108223
