AppID,Name,Windows,Mac,Linux,Genres,Release date,Average playtime forever,Positive,Negative
831980,Out of the Park Baseball 20,True,True,True,"indie,simulation,sports,strategy","Mar 22, 2019",34798,998,83
353130,Time of Dragons,True,True,True,"action,free to play,indie,massively multiplayer,simulation","Feb 1, 2016",27080,1059,638
305940,Project AURA,True,False,False,"indie,simulation,strategy","Apr 17, 2018",26827,435,229
719890,Beasts of Bermuda,True,False,False,"adventure,indie,massively multiplayer,simulation,early access","Dec 21, 2018",17147,4107,1521
252950,Rocket League®,True,False,False,"action,indie,racing,sports","Jul 6, 2015",15653,493188,62447
664830,Zombotron,True,True,False,"action,adventure,indie","Apr 22, 2019",15156,1795,219
465520,PRICE,True,False,False,"adventure,casual,indie","Sep 15, 2016",11409,4622,271
409100,The Purring Quest,True,False,False,indie,"Nov 12, 2015",11150,1174,223
892420,懒人修仙传,True,False,False,"casual,indie,rpg,simulation","Nov 14, 2018",9679,753,489
1013320,Firestone Idle RPG,True,True,True,"action,adventure,casual,free to play,indie,rpg,simulation,strategy,early access","Sep 26, 2019",9117,3437,874
