app_id,count,AppID,Name
240,449,240,Counter-Strike: Source
440,740,440,Team Fortress 2
1250,423,1250,Killing Floor
6550,179,6550,Devil May Cry® 3 Special Edition
8980,278,8980,Borderlands Game of the Year
9200,486,9200,RAGE
9480,471,9480,Saints Row 2
10090,318,10090,Call of Duty: World at War
10220,184,10220,Postal III
10680,223,10680,Aliens vs. Predator™
11390,183,11390,Crash Time 2
12200,268,12200,Bully: Scholarship Edition
13140,172,13140,America's Army 3
17080,444,17080,Tribes: Ascend
17470,229,17470,Dead Space
22380,736,22380,Fallout: New Vegas
28000,216,28000,Kane & Lynch 2: Dog Days
32500,310,32500,STAR WARS™: The Force Unleashed™ II
33230,456,33230,Assassin's Creed 2
34870,276,34870,Sniper: Ghost Warrior 2
35450,362,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
42680,515,42680,Call of Duty®: Modern Warfare® 3
42910,292,42910,Magicka
47790,308,47790,Medal of Honor™
48190,162,48190,Assassin’s Creed® Brotherhood
49520,888,49520,Borderlands 2
50130,298,50130,Mafia II (Classic)
50300,397,50300,Spec Ops: The Line
55100,261,55100,Homefront
57300,234,57300,Amnesia: The Dark Descent
57900,527,57900,Duke Nukem Forever
65800,269,65800,Dungeon Defenders
65930,578,65930,The Bureau: XCOM Declassified
67370,177,67370,The Darkness II
70000,404,70000,Dino D-Day
104900,1493,104900,ORION: Prelude
107410,1781,107410,Arma 3
111900,266,111900,Guardians of Middle-earth
115320,306,115320,Prototype 2
200210,1268,200210,Realm of the Mad God Exalt
200710,298,200710,Torchlight II
203160,641,203160,Tomb Raider
203290,412,203290,America's Army: Proving Grounds
204100,872,204100,Max Payne 3
204300,717,204300,Awesomenauts - the 2D moba
206210,367,206210,Gotham City Impostors Free to Play
206500,223,206500,AirMech Strike
207140,229,207140,SpeedRunners
207230,436,207230,ArcheBlade™
208730,161,208730,Game of Thrones
209870,1119,209870,Blacklight: Retribution
210770,229,210770,Sanctum 2
211420,1678,211420,DARK SOULS™: Prepare To Die™ Edition
211820,2565,211820,Starbound
212070,444,212070,Star Conflict
212500,301,212500,The Lord of the Rings Online™
213610,172,213610,Sonic Adventure 2
214250,184,214250,I Am Alive
214420,615,214420,Gear Up
215280,202,215280,Secret World Legends
215470,251,215470,Primal Carnage
215530,220,215530,The Incredible Adventures of Van Helsing
217140,194,217140,Rise of the Triad
218620,13452,218620,PAYDAY 2
219640,1916,219640,Chivalry: Medieval Warfare
219830,169,219830,King Arthur's Gold
221100,15048,221100,DayZ
222880,1114,222880,Insurgency
223100,489,223100,Homefront®: The Revolution
223710,568,223710,Cry of Fear
224260,838,224260,No More Room in Hell
225600,277,225600,Blade Symphony
227940,6041,227940,Heroes & Generals
228300,341,228300,Remember Me
228400,413,228400,Ace Combat Assault Horizon - Enhanced Edition
230840,220,230840,Daylight
232090,2154,232090,Killing Floor 2
233290,281,233290,Murdered: Soul Suspect
236110,849,236110,Dungeon Defenders II
236150,249,236150,Starpoint Gemini 2
236510,867,236510,Takedown: Red Sabre
237870,371,237870,Planet Explorers
237930,263,237930,Transistor
238240,413,238240,Edge of Space
238370,216,238370,Magicka 2
238430,381,238430,Contagion
238960,714,238960,Path of Exile
239140,671,239140,Dying Light
239200,535,239200,Amnesia: A Machine for Pigs
241540,770,241540,State of Decay
241600,270,241600,Rogue Legacy
241720,177,241720,Guncraft
242700,317,242700,Injustice: Gods Among Us Ultimate Edition
242760,1234,242760,The Forest
242860,744,242860,Verdun
243930,202,243930,Bound By Flame
244450,390,244450,Men of War: Assault Squad 2
244770,216,244770,StarMade
244850,2003,244850,Space Engineers
245170,179,245170,Skullgirls 2nd Encore
247730,2663,247730,Nether: Resurrected
247950,350,247950,Sacred 3
248820,257,248820,Risk of Rain
250340,348,250340,Blockland
250420,670,250420,8BitMMO
250900,236,250900,The Binding of Isaac: Rebirth
251570,2359,251570,7 Days to Die
252490,7987,252490,Rust
252950,1567,252950,Rocket League®
253710,2839,253710,theHunter Classic
255070,209,255070,Abyss Odyssey
258180,500,258180,Deus Ex: The Fall
258970,472,258970,Gauntlet™ Slayer Edition
259080,185,259080,Just Cause 2: Multiplayer Mod
261530,184,261530,Lifeless Planet Premier Edition
261640,963,261640,Borderlands: The Pre-Sequel
261760,274,261760,Lichdom: Battlemage
262150,193,262150,Vanguard Princess
265300,717,265300,Lords Of The Fallen™
268750,235,268750,Magicite
270550,260,270550,Yet Another Zombie Defense
274940,360,274940,Depth
278970,305,278970,Digger Online
285900,752,285900,Gang Beasts
286690,298,286690,Metro 2033 Redux
286940,254,286940,S.K.I.L.L. - Special Force 2 (Shooter)
287700,1082,287700,METAL GEAR SOLID V: THE PHANTOM PAIN
290300,175,290300,Rebel Galaxy
291550,1215,291550,Brawlhalla
292730,945,292730,Call of Duty®: Infinite Warfare
