app_id,count,AppID,Name
9200,250,9200,RAGE
9480,237,9480,Saints Row 2
10090,172,10090,Call of Duty: World at War
10680,100,10680,Aliens vs. Predator™
12200,128,12200,Bully: Scholarship Edition
17080,204,17080,Tribes: Ascend
22380,368,22380,Fallout: New Vegas
28000,99,28000,Kane & Lynch 2: Dog Days
32500,155,32500,STAR WARS™: The Force Unleashed™ II
34870,131,34870,Sniper: Ghost Warrior 2
35140,93,35140,Batman: Arkham Asylum Game of the Year Edition
47790,145,47790,Medal of Honor™
50300,208,50300,Spec Ops: The Line
65800,136,65800,Dungeon Defenders
65930,286,65930,The Bureau: XCOM Declassified
70000,205,70000,Dino D-Day
111900,145,111900,Guardians of Middle-earth
200210,601,200210,Realm of the Mad God Exalt
203160,328,203160,Tomb Raider
204100,448,204100,Max Payne 3
206210,194,206210,Gotham City Impostors Free to Play
207230,207,207230,ArcheBlade™
210770,112,210770,Sanctum 2
211820,1264,211820,Starbound
214420,310,214420,Gear Up
215470,114,215470,Primal Carnage
219640,976,219640,Chivalry: Medieval Warfare
221100,7542,221100,DayZ
222880,541,222880,Insurgency
223100,244,223100,Homefront®: The Revolution
223710,305,223710,Cry of Fear
224260,404,224260,No More Room in Hell
230840,114,230840,Daylight
232090,1059,232090,Killing Floor 2
236110,413,236110,Dungeon Defenders II
236150,113,236150,Starpoint Gemini 2
237870,198,237870,Planet Explorers
237930,136,237930,Transistor
238430,184,238430,Contagion
241720,98,241720,Guncraft
242860,355,242860,Verdun
244450,200,244450,Men of War: Assault Squad 2
244770,104,244770,StarMade
244850,990,244850,Space Engineers
247950,188,247950,Sacred 3
250420,346,250420,8BitMMO
250900,118,250900,The Binding of Isaac: Rebirth
252950,791,252950,Rocket League®
253710,1415,253710,theHunter Classic
255070,120,255070,Abyss Odyssey
258180,223,258180,Deus Ex: The Fall
258970,253,258970,Gauntlet™ Slayer Edition
261760,141,261760,Lichdom: Battlemage
265300,342,265300,Lords Of The Fallen™
268750,106,268750,Magicite
270550,123,270550,Yet Another Zombie Defense
285900,368,285900,Gang Beasts
286940,130,286940,S.K.I.L.L. - Special Force 2 (Shooter)
287700,547,287700,METAL GEAR SOLID V: THE PHANTOM PAIN
291550,585,291550,Brawlhalla
302830,784,302830,BLOCKADE 3D
304050,1177,304050,Trove
307880,241,307880,Savage Lands
310950,519,310950,Street Fighter V
311690,95,311690,Enter the Gungeon
322500,225,322500,SUPERHOT
323470,209,323470,DRAGON BALL XENOVERSE
326460,138,326460,ShellShock Live
327890,182,327890,I Am Bread
333930,1126,333930,Dirty Bomb®
333950,173,333950,Medieval Engineers
339280,115,339280,Strife®
341940,144,341940,Hatred
355840,616,355840,Survarium
359550,1016,359550,Tom Clancy's Rainbow Six® Siege
364360,684,364360,Total War: WARHAMMER
375230,354,375230,"Warhammer 40,000: Eternal Crusade"
389430,137,389430,Knight Online
391460,520,391460,WARMODE
394230,380,394230,Battleborn
418340,179,418340,RWBY: Grimm Eclipse
433850,1436,433850,Z1 Battle Royale
444090,1039,444090,Paladins®
447040,130,447040,Watch_Dogs® 2
