app_id,count,AppID,Name
10,268,10,Counter-Strike
240,678,240,Counter-Strike: Source
440,1096,440,Team Fortress 2
620,358,620,Portal 2
1250,634,1250,Killing Floor
6550,285,6550,Devil May Cry® 3 Special Edition
7510,306,7510,X-Blades
8190,688,8190,Just Cause 2
8500,469,8500,EVE Online
8850,332,8850,BioShock® 2
8980,418,8980,Borderlands Game of the Year
9200,747,9200,RAGE
9480,694,9480,Saints Row 2
10090,475,10090,Call of Duty: World at War
10220,293,10220,Postal III
10680,327,10680,Aliens vs. Predator™
11390,268,11390,Crash Time 2
12200,392,12200,Bully: Scholarship Edition
13140,262,13140,America's Army 3
15100,285,15100,Assassin's Creed™: Director's Cut Edition
16720,239,16720,Velvet Assassin
16730,324,16730,Legendary
17080,622,17080,Tribes: Ascend
17470,336,17470,Dead Space
19680,373,19680,Alice: Madness Returns
20900,977,20900,The Witcher: Enhanced Edition Director's Cut
21100,610,21100,F.E.A.R. 3
22350,544,22350,BRINK
22380,1099,22380,Fallout: New Vegas
24200,734,24200,DC Universe™ Online
24960,541,24960,Battlefield: Bad Company™ 2
28000,342,28000,Kane & Lynch 2: Dog Days
32430,485,32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
32500,462,32500,STAR WARS™: The Force Unleashed™ II
33230,680,33230,Assassin's Creed 2
34830,322,34830,Sniper: Ghost Warrior
34870,412,34870,Sniper: Ghost Warrior 2
35450,538,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
39160,244,39160,Dungeon Siege III
41070,364,41070,Serious Sam 3: BFE
42680,773,42680,Call of Duty®: Modern Warfare® 3
42910,434,42910,Magicka
45740,272,45740,Dead Rising® 2
47790,462,47790,Medal of Honor™
48000,418,48000,LIMBO
48190,247,48190,Assassin’s Creed® Brotherhood
48700,518,48700,Mount & Blade: Warband
48720,279,48720,Mount & Blade: With Fire & Sword
49520,1343,49520,Borderlands 2
49540,1256,49540,Aliens: Colonial Marines Collection
50130,455,50130,Mafia II (Classic)
50300,600,50300,Spec Ops: The Line
55100,378,55100,Homefront
57300,348,57300,Amnesia: The Dark Descent
57900,810,57900,Duke Nukem Forever
65790,253,65790,ARMA: Cold War Assault
65800,422,65800,Dungeon Defenders
65930,839,65930,The Bureau: XCOM Declassified
67370,280,67370,The Darkness II
70000,619,70000,Dino D-Day
91700,383,91700,E.Y.E: Divine Cybermancy
92000,322,92000,Hydrophobia: Prophecy
104900,2281,104900,ORION: Prelude
105600,1877,105600,Terraria
107410,2671,107410,Arma 3
108710,489,108710,Alan Wake
111900,389,111900,Guardians of Middle-earth
113200,638,113200,The Binding of Isaac
115320,472,115320,Prototype 2
200210,1926,200210,Realm of the Mad God Exalt
200710,493,200710,Torchlight II
203140,804,203140,Hitman: Absolution™
203160,997,203160,Tomb Raider
203290,629,203290,America's Army: Proving Grounds
204100,1322,204100,Max Payne 3
204300,1078,204300,Awesomenauts - the 2D moba
204360,488,204360,Castle Crashers®
206210,542,206210,Gotham City Impostors Free to Play
206420,1207,206420,Saints Row IV
206500,348,206500,AirMech Strike
207140,346,207140,SpeedRunners
207230,650,207230,ArcheBlade™
208650,5456,208650,Batman™: Arkham Knight
209000,1176,209000,Batman™: Arkham Origins
209160,3533,209160,Call of Duty®: Ghosts
209870,1681,209870,Blacklight: Retribution
210770,354,210770,Sanctum 2
211400,970,211400,Deadlight
211420,2550,211420,DARK SOULS™: Prepare To Die™ Edition
211820,3787,211820,Starbound
212070,656,212070,Star Conflict
212500,463,212500,The Lord of the Rings Online™
213610,266,213610,Sonic Adventure 2
214250,265,214250,I Am Alive
214420,882,214420,Gear Up
214490,603,214490,Alien: Isolation
215080,327,215080,WAKFU
215280,315,215280,Secret World Legends
215470,375,215470,Primal Carnage
215530,327,215530,The Incredible Adventures of Van Helsing
217140,300,217140,Rise of the Triad
218620,20297,218620,PAYDAY 2
218820,269,218820,Mercenary Kings: Reloaded Edition
219640,2908,219640,Chivalry: Medieval Warfare
219830,248,219830,King Arthur's Gold
219990,342,219990,Grim Dawn
220860,244,220860,McPixel
221040,711,221040,Resident Evil 6
221100,22484,221100,DayZ
222880,1602,222880,Insurgency
223100,734,223100,Homefront®: The Revolution
223470,367,223470,POSTAL 2
223710,867,223710,Cry of Fear
224260,1250,224260,No More Room in Hell
225080,486,225080,Brothers - A Tale of Two Sons
225600,428,225600,Blade Symphony
227940,8982,227940,Heroes & Generals
228300,497,228300,Remember Me
228400,649,228400,Ace Combat Assault Horizon - Enhanced Edition
230410,3346,230410,Warframe
230840,328,230840,Daylight
232090,3275,232090,Killing Floor 2
233130,253,233130,Shadow Warrior
233290,459,233290,Murdered: Soul Suspect
233720,954,233720,Surgeon Simulator
233860,253,233860,Kenshi
234080,308,234080,Castlevania: Lords of Shadow – Ultimate Edition
234140,868,234140,Mad Max
235340,240,235340,Prime World
235540,1055,235540,Warhammer: End Times - Vermintide
236110,1269,236110,Dungeon Defenders II
236150,393,236150,Starpoint Gemini 2
236390,2688,236390,War Thunder
236510,1278,236510,Takedown: Red Sabre
236870,1094,236870,HITMAN™
237310,564,237310,Elsword
237870,558,237870,Planet Explorers
237930,383,237930,Transistor
238010,348,238010,Deus Ex: Human Revolution - Director's Cut
238240,624,238240,Edge of Space
238320,317,238320,Outlast
238370,324,238370,Magicka 2
238430,584,238430,Contagion
238960,1118,238960,Path of Exile
239140,1056,239140,Dying Light
239160,1474,239160,Thief
239200,817,239200,Amnesia: A Machine for Pigs
240320,371,240320,Panzar
241540,1166,241540,State of Decay
241560,1046,241560,The Crew™
241600,409,241600,Rogue Legacy
241720,262,241720,Guncraft
242700,482,242700,Injustice: Gods Among Us Ultimate Edition
242760,1848,242760,The Forest
242860,1120,242860,Verdun
243930,306,243930,Bound By Flame
244450,578,244450,Men of War: Assault Squad 2
244770,314,244770,StarMade
244850,3040,244850,Space Engineers
245170,262,245170,Skullgirls 2nd Encore
246700,337,246700,Strike Vector
247730,3996,247730,Nether: Resurrected
247950,517,247950,Sacred 3
248570,405,248570,Toribash
